Componente1,Componente2,Componente3,Class
2.2641852,-9.849342,35.695473,1
20.493237,-10.3430395,-2.7591093,0
-17.422956,-0.91528267,15.893487,0
3.6994238,1.2467993,27.836014,0
-8.390221,1.933156,-10.807374,0
-3.229509,21.988314,22.643394,0
-2.7206657,-28.075014,18.997412,0
-19.896345,-2.4001913,4.335894,0
-16.772482,34.441994,-11.178327,0
3.502324,5.8433533,-5.7656107,0
-12.522909,-3.7134926,1.2949463,0
-2.205462,41.745495,-3.816734,0
9.766575,-32.61632,-7.671478,0
36.89856,-10.29615,-2.2789893,0
-15.626582,-18.370258,-36.27214,0
4.402688,3.047949,-40.38244,0
-21.453474,2.3349957,-5.0289717,0
-21.41295,-17.448103,28.174145,0
2.9092643,-25.613071,10.509722,0
-14.118855,30.313179,-24.078161,0
-17.133844,-3.06797,-35.16808,0
25.61166,-1.809387,11.517626,0
-38.02529,7.7269244,0.6555735,0
-10.399332,10.019616,0.06451773,0
19.18037,6.466909,-0.8033444,0
-16.63163,1.4587747,2.5741694,0
10.154715,-8.821798,7.5655704,0
-11.971379,-0.80342185,13.818158,0
-8.772909,-15.03905,-15.535813,0
3.621327,8.292293,-30.683796,0
7.7796254,-8.600584,3.9196246,0
1.9250324,12.384566,35.054817,0
-13.070398,-9.814774,8.128448,0
-4.2792187,17.996689,15.945666,0
1.627792,2.1660476,-39.340767,0
10.361996,3.899915,-29.585478,0
-32.60822,15.400664,8.61208,0
-18.279964,-2.7152116,-9.706331,0
-26.78693,-12.501917,17.927578,0
1.9152871,-19.75471,-11.9635725,0
-18.50015,35.52889,-15.993234,0
-18.28273,31.187809,-7.2025537,0
1.6788408,3.4009504,-22.808037,0
29.922266,-7.817656,17.007513,0
-26.896273,-11.283385,-10.222752,0
20.100557,-14.834032,10.191288,0
-36.50936,11.891172,-31.700987,0
33.12372,16.213593,5.2422757,0
34.89172,-3.1999774,7.3763037,0
-23.900532,22.335669,28.483482,0
37.07464,4.131921,9.834178,0
19.734005,-4.4200745,9.834549,0
30.01034,0.4413846,10.223629,0
9.3283,-14.48608,-3.1880867,0
-26.350084,40.63254,8.346499,0
-11.897917,-38.991753,19.218311,0
-28.14609,-38.642235,11.690342,0
-14.484585,-1.578877,7.4243593,0
-8.990939,42.42844,11.766869,0
3.7878504,31.537786,-7.3083997,0
-18.816689,2.9210026,-4.220811,0
11.038752,4.654672,8.522351,0
5.501312,6.3052278,24.84786,0
4.949036,9.013671,-2.5499387,0
-36.418354,14.1082945,23.994886,0
21.614664,9.129565,8.424014,0
11.801431,-14.7333975,-7.865623,0
-31.933468,-1.9703006,37.754864,0
19.52999,4.9587474,-16.422598,0
-15.398903,-5.3363214,4.159838,0
22.655714,-3.0126882,17.786549,0
9.398442,-8.777128,10.34369,0
4.362962,-13.14016,-13.254507,0
10.496749,-17.449043,40.612896,0
-3.4774473,2.0060399,-34.663074,0
-25.61026,-11.848506,-13.348871,0
17.413307,-7.106719,11.789583,0
-36.611637,21.7243,20.560179,0
-15.147948,2.2636707,24.60848,0
0.23744065,-11.673811,14.467507,0
-33.89548,9.177746,5.3047743,0
-19.397635,-13.471329,-3.771188,0
11.652399,-1.6904246,17.563562,0
-15.118056,-0.7003595,-0.9140955,0
-15.060413,-0.18574867,2.5459878,0
0.40280676,22.8252,14.429776,0
5.249902,7.369686,12.946703,0
-27.602848,5.579539,-26.15137,0
7.2763844,-30.423632,-9.239388,0
10.169256,7.351091,10.099164,0
36.026695,0.6003277,9.437397,0
28.29653,-10.245555,-9.706347,0
9.300982,-45.55382,0.6578957,0
10.143358,3.3962355,-29.046757,0
6.877676,4.643436,25.330334,0
-15.532274,-16.018036,-7.246976,0
-16.60558,-12.120402,-11.922578,0
7.2927055,2.2889507,23.773832,0
-11.489505,-30.20357,-27.432209,0
34.442204,-2.8970628,10.468238,0
11.773538,4.9615755,6.0041203,0
-6.0316978,-9.134532,31.43885,1
-4.168825,-32.366913,-2.4776082,0
1.0600035,11.42737,22.57954,0
15.429393,12.556971,-7.153923,0
-29.585588,5.533298,-2.1575878,0
19.155499,-6.8850794,0.038420748,0
-24.575108,13.5230255,25.276386,0
26.117119,-24.74753,-1.1505758,0
-5.8310566,23.660316,-34.269047,0
7.456025,33.254047,4.6161013,0
12.744713,3.4548788,14.517169,0
-13.190512,3.5586221,-19.649925,0
-15.080669,-9.901903,26.560566,0
5.387267,-10.987218,21.028126,0
17.838717,-9.574707,-21.083485,0
-5.677697,-22.200172,-12.282907,0
16.919817,-12.556544,-9.038179,0
7.281487,6.6367936,12.682031,0
1.9580207,16.78164,-20.219057,0
-11.745204,40.898335,3.1720443,0
-31.09315,-3.3650918,11.999268,0
-25.600336,11.361034,12.206394,0
-14.234587,36.41235,4.747508,0
15.0448675,-42.515152,-0.55983156,0
0.53485096,28.453842,-3.36189,0
2.320236,17.55466,29.634829,0
24.332026,-24.53583,-2.915659,0
-18.96444,25.31215,18.531895,0
-18.979889,30.043499,31.27436,0
-23.110605,-5.4818482,13.001261,0
-39.749832,-8.181065,0.92934155,0
27.897955,10.76314,-3.0993989,0
8.802327,5.957957,3.0041277,0
-20.951674,23.489235,-1.1291729,0
-29.420523,29.883757,-2.2874131,0
8.944912,-15.980131,-8.554421,0
-8.660311,3.2838268,-43.24266,0
14.22206,-4.995408,-3.4854305,0
-13.9724045,-1.5999815,4.689623,0
16.507776,-3.0879104,-31.226496,0
19.5434,21.274754,10.850286,0
14.760909,11.534997,27.277067,0
13.937692,-9.779617,7.6980433,0
-3.996783,21.570787,3.8976257,0
-25.158974,-7.3516564,27.506655,0
27.735878,9.547893,12.461973,0
8.05415,3.850063,3.0852408,0
-25.775616,17.69358,-26.624674,0
14.522857,-12.379964,-2.5571115,0
18.512924,30.555298,-1.2623435,0
25.858932,-16.875015,-9.236402,0
9.692817,2.5999932,-25.812859,0
-13.043522,-4.913002,-9.976443,0
11.924108,-0.6438268,23.473122,0
6.2503777,-12.929312,-21.133911,0
-20.124777,-19.273335,17.271307,0
14.09755,7.090316,34.95517,0
-31.747393,1.5106448,10.43088,0
-18.353973,15.6188135,-2.0361197,0
32.861317,-9.618723,5.644894,0
36.87334,3.9468253,-13.001598,0
0.48457158,11.294241,35.130566,0
-18.653517,14.858879,22.552689,0
34.378754,8.530907,-2.561157,0
-12.728968,-4.881173,13.986645,0
-30.196308,17.623285,11.749633,0
2.7880845,-8.632338,-8.369774,0
0.9212706,28.936365,18.11519,0
-3.4535139,25.846453,6.806723,0
-24.335833,-11.851704,-1.6719218,0
-33.53253,-15.556905,-12.471393,0
-20.046091,8.566176,22.772715,0
-8.524606,-2.4282372,24.404465,0
15.334832,18.307955,-13.673103,0
-7.2603707,-27.57266,19.73089,0
2.3757281,-1.5445467,13.541843,0
-26.54293,11.075493,-2.572174,0
9.561258,18.63289,13.913881,0
18.14997,0.38796857,-15.626908,0
-18.981272,-10.627412,8.088122,0
-6.4016113,-0.71284443,-26.269295,0
-25.087881,-14.316925,-33.355206,0
8.08281,-12.226408,26.185873,0
0.43638554,26.752546,-3.3600962,0
7.042351,7.708185,0.6034934,0
-42.90757,6.9549704,17.280602,0
-23.851955,-7.2848415,2.2126799,0
-33.09407,-9.053032,-6.3616652,0
-4.258712,31.637722,-10.569999,0
10.251751,4.8647947,3.5654573,0
-45.21318,-2.6118643,11.151553,0
-31.151543,-19.395128,5.3914313,0
-12.355553,-19.650337,-6.2096977,0
-18.191072,7.8897605,33.262333,0
-35.24981,-1.2314633,25.959297,0
-19.96585,-9.053194,21.298565,0
3.227896,-7.415472,-4.8231254,0
17.468306,-17.497486,4.9401646,0
-13.841848,-1.6071084,-3.0526257,0
6.178513,2.385254,19.239285,0
-7.214655,-8.940226,32.77922,1
-17.950819,-24.585062,9.634883,0
16.582703,13.284306,5.131516,0
29.498257,15.51082,7.8474784,0
5.5503488,8.338883,19.858173,0
-26.750767,-3.4470658,17.20071,0
-15.609978,-18.34705,13.739303,0
-15.576263,21.26507,4.7797446,0
17.138952,7.152336,-1.7960631,0
9.1683235,17.887177,-11.821315,0
32.964924,-14.46355,-0.18152261,0
12.275917,2.499837,-7.2694836,0
15.1032915,14.485105,-16.796515,0
-3.2587137,-5.430154,9.667213,0
27.745733,1.2489884,0.57034916,0
-26.03532,-4.8887157,-25.296968,0
18.712585,-4.7397027,9.870875,0
11.495761,-17.248455,5.327652,0
-14.1471195,9.7721405,27.804348,0
13.611734,-13.770264,-8.917883,0
-20.080173,11.679386,-20.746143,0
-12.209236,-6.5007467,1.5434237,0
-13.030725,-19.75729,5.587501,0
-10.937484,-6.8349824,20.955996,0
19.178726,6.233995,-15.180469,0
13.313898,-23.841713,-10.032104,0
6.33511,-15.813493,-20.631523,0
2.1327682,-9.323699,-7.352618,0
1.7586143,-6.9281106,-12.60467,0
-20.182083,-23.924778,-6.169951,0
-14.797258,-6.5456247,-37.269974,0
-33.717472,18.188587,-2.0955687,0
4.3657894,1.0685604,-13.592728,0
18.119514,-5.841139,10.764932,0
-19.949745,-22.437027,-12.71386,0
12.32192,-30.87172,19.890846,0
11.246108,-3.2876046,-19.09236,0
-41.976006,11.555265,0.020811863,0
32.74328,10.489402,-10.433215,0
-13.772646,-27.626863,30.691631,0
-39.876,24.650896,-5.7791433,0
-17.49527,5.328251,3.9322362,0
20.77346,23.615818,6.585186,0
11.978853,-15.440183,-8.760825,0
7.1327443,32.261395,15.60265,0
-22.040264,-17.502733,-5.7904296,0
